"AtcoCode","NaptanCode","PlateCode","CleardownCode","CommonName","CommonNameLang","ShortCommonName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","Bearing","NptgLocalityCode","LocalityName","ParentLocalityName","GrandParentLocalityName","Town","TownLang","Suburb","SuburbLang","LocalityCentre","GridType","Easting","Northing","Longitude","Latitude","StopType","BusStopType","TimingStatus","DefaultWaitTime","Notes","NotesLang","AdministrativeAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification","Status"
"1800SB33581","mangwdpa","",,"Princess Road/Nell Lane","","Nell Lane","","SIEMENS OFFICES","","PRINCESS ROAD","","","","Stop D","","S","E0029519","West Didsbury","Didsbury","Manchester","","","","","0","U",383320,392402,-2.2525,53.42816,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB33591","mangwdpd","",,"Mauldeth Road West/Old Moat Park","","Old Moat Park","","O/S HOUSE 36","","MAULDETH RD WST","","","","O/s House 36","","SE","N0074979","Fallowfield","Manchester","","","","","","0","U",384899,393437,-2.22878,53.43751,"BCT","MKD","TIP","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB33601","mangwdpg","",,"Mauldeth Road West/Old Moat Park","","Old Moat Park","","SPORTSFIELDS","","MAULDETH RD WST","","","","Sportsfields","","NW","N0074979","Fallowfield","Manchester","","","","","","0","U",384866,393435,-2.22928,53.43749,"BCT","MKD","TIP","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB33611","mangwdpj","",,"Mauldeth Rd West/Wilmslow Rd","","Wilmslow Rd","","OPP HOUSE 394","","MAULDETH ROAD","","","","Stop A","","NW","N0074979","Fallowfield","Manchester","","","","","","0","U",385119,393308,-2.22546,53.43636,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB33621","mangwdpm","",,"Wilmslow Rd/Withington Library","","Library","","LIBRARY","","WILMSLOW ROAD","","","","Stop B","","NE","E0029558","Withington","Manchester","","","","","","1","U",385037,393221,-2.22669,53.43557,"BCT","MKD","TIP","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB33631","mangwdpt","",,"Wilmslow Rd/Withington Library","","Library","","NATWEST BANK","","WILMSLOW ROAD","","","","Stop E","","SW","E0029558","Withington","Manchester","","","","","","1","U",384987,393143,-2.22744,53.43487,"BCT","MKD","TIP","","NAME AMENDED","","083","2009-02-10T00:00:00","2009-02-10T00:00:00",1,"new","act"
"1800SB33651","mangwdpw","",,"Burton Road/Whitchurch Road","","Whitchurch Road","","SWIMMING BATHS","","BURTON ROAD","","","","Swimming Baths","","NE","E0029558","Withington","Manchester","","","","","","0","U",384596,392889,-2.23332,53.43258,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB33661","mangwdta","",,"Burton Road/Darlington Road","","Darlington Road","","OP OLD HOUSE PH","","BURTON ROAD","","","","Op Old House Ph","","NE","E0029558","Withington","Manchester","","","","","","0","U",384309,392706,-2.23763,53.43092,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB33671","mangwdtd","",,"Burton Road/Everett Road","","Everett Road","","O/S HOUSE 62","","BURTON ROAD","","","","O/s House 62","","NE","E0029558","Withington","Manchester","","","","","","0","U",384439,392826,-2.23568,53.43201,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
"1800SB33681","mangwdtg","",,"Burton Road/Everett Road","","Everett Road","","O/S HOUSE 49","","BURTON ROAD","","","","O/s House 49","","SW","E0029558","Withington","Manchester","","","","","","0","U",384392,392780,-2.23638,53.43159,"BCT","MKD","OTH","","","","083","2007-11-01T00:00:00","2007-11-01T00:00:00",0,"new","act"
